Year,Value(Kwh)
1971,28.57
1972,32.73
1973,35.3
1974,32.85
1975,45.78
1976,51.57
1977,59.17
1978,60.67
1979,59.8
1980,68.02
1981,50.87
1982,81.85
1983,81.69
1984,62.03
1985,80.41
1986,90.83
1987,89.25
1988,87.09
1989,97.01
1990,87.03
1991,89.55
1992,90.0
1993,100.83
1994,95.5
1995,91.43
1996,85.86
1997,81.96
1998,76.93
1999,75.72
2000,74.45
2001,75.53
2002,104.6
2003,101.87
2004,123.57
2005,129.26
2006,111.69
2007,138.84
2008,127.18
2009,120.57
2010,136.36
2011,150.13
2012,156.73
2013,142.68
2014,144.48
